Adapter Name,Banner,Video,Native,Audio,File Path
seedingAlliance,Yes,No,Yes,No,modules/seedingAllianceBidAdapter.js
seedtag,Yes,Yes,No,No,modules/seedtagBidAdapter.js
setupad,Yes,No,No,No,modules/setupadBidAdapter.js
sevio,Yes,No,Yes,No,modules/sevioBidAdapter.js
sharethrough,Yes,Yes,Yes,No,modules/sharethroughBidAdapter.js
shinez,No,No,No,No,modules/shinezBidAdapter.js
shinezRtb,Yes,Yes,No,No,modules/shinezRtbBidAdapter.js
showheroes-bs,Yes,Yes,No,No,modules/showheroes-bsBidAdapter.js
silvermob,Yes,Yes,Yes,No,modules/silvermobBidAdapter.js
silverpush,Yes,Yes,No,No,modules/silverpushBidAdapter.js
slimcut,Yes,No,No,No,modules/slimcutBidAdapter.js
smaato,Yes,Yes,Yes,No,modules/smaatoBidAdapter.js
smartadserver,Yes,Yes,No,No,modules/smartadserverBidAdapter.js
smarthub,Yes,Yes,Yes,No,modules/smarthubBidAdapter.js
smartico,Yes,No,No,No,modules/smarticoBidAdapter.js
smartx,No,Yes,No,No,modules/smartxBidAdapter.js
smartyads,Yes,Yes,Yes,No,modules/smartyadsBidAdapter.js
smartytech,Yes,Yes,No,No,modules/smartytechBidAdapter.js
smilewanted,Yes,Yes,Yes,No,modules/smilewantedBidAdapter.js
smoot,Yes,Yes,Yes,No,modules/smootBidAdapter.js
snigel,Yes,No,No,No,modules/snigelBidAdapter.js
sonarads,Yes,No,No,No,modules/sonaradsBidAdapter.js
sonobi,Yes,Yes,No,No,modules/sonobiBidAdapter.js
sovrn,Yes,Yes,No,No,modules/sovrnBidAdapter.js
sparteo,Yes,Yes,No,No,modules/sparteoBidAdapter.js
ssmas,Yes,No,No,No,modules/ssmasBidAdapter.js
sspBC,Yes,Yes,Yes,No,modules/sspBCBidAdapter.js
ssp_geniee,Yes,No,No,No,modules/ssp_genieeBidAdapter.js
stackadapt,Yes,Yes,No,No,modules/stackadaptBidAdapter.js
startio,Yes,Yes,Yes,No,modules/startioBidAdapter.js
stn,No,No,No,No,modules/stnBidAdapter.js
stroeerCore,Yes,Yes,No,No,modules/stroeerCoreBidAdapter.js
stv,Yes,Yes,No,No,modules/stvBidAdapter.js
sublime,Yes,No,No,No,modules/sublimeBidAdapter.js
suim,Yes,No,No,No,modules/suimBidAdapter.js
taboola,Yes,No,No,No,modules/taboolaBidAdapter.js
tadvertising,Yes,Yes,No,No,modules/tadvertisingBidAdapter.js
tagoras,Yes,Yes,No,No,modules/tagorasBidAdapter.js
talkads,Yes,No,Yes,No,modules/talkadsBidAdapter.js
tapnative,Yes,No,Yes,No,modules/tapnativeBidAdapter.js
tappx,Yes,Yes,No,No,modules/tappxBidAdapter.js
targetVideo,Yes,Yes,No,No,modules/targetVideoBidAdapter.js
teads,Yes,No,No,No,modules/teadsBidAdapter.js
teal,Yes,No,No,No,modules/tealBidAdapter.js
temedya,Yes,No,Yes,No,modules/temedyaBidAdapter.js
theAdx,Yes,Yes,Yes,No,modules/theAdxBidAdapter.js
themoneytizer,Yes,No,No,No,modules/themoneytizerBidAdapter.js
tpmn,Yes,Yes,No,No,modules/tpmnBidAdapter.js
trafficgate,Yes,Yes,No,No,modules/trafficgateBidAdapter.js
trion,Yes,No,No,No,modules/trionBidAdapter.js
triplelift,Yes,Yes,No,No,modules/tripleliftBidAdapter.js
truereach,Yes,No,No,No,modules/truereachBidAdapter.js
ttd,Yes,Yes,No,No,modules/ttdBidAdapter.js
twistDigital,Yes,Yes,No,No,modules/twistDigitalBidAdapter.js
ucfunnel,Yes,Yes,Yes,No,modules/ucfunnelBidAdapter.js
underdogmedia,Yes,No,No,No,modules/underdogmediaBidAdapter.js
undertone,Yes,Yes,No,No,modules/undertoneBidAdapter.js
unicorn,Yes,No,No,No,modules/unicornBidAdapter.js
uniquest,Yes,No,No,No,modules/uniquestBidAdapter.js
unruly,Yes,Yes,No,No,modules/unrulyBidAdapter.js
valuad,Yes,No,No,No,modules/valuadBidAdapter.js
vdoai,Yes,Yes,No,No,modules/vdoaiBidAdapter.js
ventes,Yes,Yes,Yes,No,modules/ventesBidAdapter.js
viant,Yes,Yes,Yes,No,modules/viantBidAdapter.js
vibrantmedia,Yes,Yes,Yes,No,modules/vibrantmediaBidAdapter.js
vidazoo,Yes,Yes,No,No,modules/vidazooBidAdapter.js
videobyte,No,Yes,No,No,modules/videobyteBidAdapter.js
videoheroes,Yes,Yes,Yes,No,modules/videoheroesBidAdapter.js
videonow,Yes,No,No,No,modules/videonowBidAdapter.js
videoreach,Yes,No,No,No,modules/videoreachBidAdapter.js
vidoomy,Yes,Yes,No,No,modules/vidoomyBidAdapter.js
viewdeosDX,Yes,Yes,No,No,modules/viewdeosDXBidAdapter.js
viously,Yes,Yes,No,No,modules/viouslyBidAdapter.js
viqeo,No,Yes,No,No,modules/viqeoBidAdapter.js
visiblemeasures,Yes,Yes,Yes,No,modules/visiblemeasuresBidAdapter.js
vistars,Yes,Yes,No,No,modules/vistarsBidAdapter.js
visx,Yes,Yes,No,No,modules/visxBidAdapter.js
vlyby,Yes,Yes,No,No,modules/vlybyBidAdapter.js
vox,Yes,Yes,No,No,modules/voxBidAdapter.js
vrtcal,Yes,No,No,No,modules/vrtcalBidAdapter.js
vuukle,Yes,No,No,No,modules/vuukleBidAdapter.js
